metric,target,n_samples,pearson_r,pearson_p,r_squared,ci_lower_95,ci_upper_95,spearman_rho,spearman_p,significant_p05,abs_r
avg_v_style_front,AthleteScore,17,0.6126445903319441,0.008933829750396008,0.3753333940629956,0.18708237223248253,0.8445909481393344,0.5269607843137256,0.029744419409182328,True,0.6126445903319441
avg_v_style_front,Physical_Score,17,0.602783144004506,0.010432364663437877,0.3633475186959571,0.17194983377585837,0.8400487939389597,0.5245098039215687,0.030654016087948877,True,0.602783144004506
landing_knee_compression,Style_Score,31,-0.5700061101913367,0.0008153664185978401,0.3249069656554583,-0.7690249615208348,-0.2702437075184135,-0.47688019191318626,0.006679223321223309,True,0.5700061101913367
avg_v_style_back,Style_Score,4,-0.5184362023600997,0.4815637976399003,0.26877609591756224,-0.9874937048529973,0.8822436870479048,-0.39999999999999997,0.6000000000000001,False,0.5184362023600997
telemark_scissor_mean,AthleteScore,29,-0.3877955494176689,0.03765269484932985,0.1503853881481517,-0.6604381789640351,-0.024810050345905943,-0.38817733990147774,0.03744863607196563,True,0.3877955494176689
telemark_scissor_mean,Physical_Score,29,-0.3831861620394969,0.04018740919952479,0.14683163477855957,-0.6573747651500045,-0.019398777708543816,-0.38226600985221665,0.0407093708608228,True,0.3831861620394969
flight_mean_bsa,Physical_Score,30,-0.3628901554458704,0.04873010429487132,0.13168926491952798,-0.6395503742943746,-0.0030081935708358245,-0.2511679644048943,0.18062701261892603,True,0.3628901554458704
flight_mean_bsa,AthleteScore,30,-0.35747527649292,0.05245199605588924,0.1277885733036896,-0.6358586194471251,0.003213893345778279,-0.23692992213570632,0.20744647963278534,False,0.35747527649292
avg_v_style_back,AthleteScore,4,-0.3354794327110111,0.6645205672889889,0.11254644977210183,-0.9804475939029165,0.9233091577740216,0.0,1.0,False,0.3354794327110111
avg_v_style_back,Physical_Score,4,-0.32657983810255864,0.6734201618974414,0.10665439065509341,-0.9800567473819148,0.9247698853492676,0.0,1.0,False,0.32657983810255864
avg_symmetry_index_back,Style_Score,4,0.3046469988798877,0.6953530011201123,0.0928097939265223,-0.9282189727904744,0.9790714367208103,0.39999999999999997,0.6000000000000001,False,0.3046469988798877
flight_std,Physical_Score,30,-0.2900397534913925,0.12000655054332449,0.08412305860534773,-0.5887899089739415,0.07843109045141133,-0.26985539488320354,0.14925517165882488,False,0.2900397534913925
flight_std,AthleteScore,30,-0.28957779791622595,0.12062449692316461,0.08385530104601059,-0.5884603305513019,0.07893228068026226,-0.2600667408231368,0.16515681991690628,False,0.28957779791622595
flight_jitter,Style_Score,30,-0.28688193679972956,0.12427770811070543,0.08230124566196403,-0.5865350073338129,0.08185339466610995,-0.004473839693874082,0.9812808974761772,False,0.28688193679972956
avg_v_style_front,Style_Score,17,0.23006157483528478,0.3743700365583346,0.052928328215691337,-0.28174594553756444,0.639948497286315,0.34156012890295895,0.17966239110560625,False,0.23006157483528478
landing_hip_velocity,Physical_Score,31,-0.21731933416766747,0.24025104900916822,0.04722769300307832,-0.5307911671839115,0.148459009344197,-0.23991935483870971,0.19359944914441043,False,0.21731933416766747
landing_hip_velocity,AthleteScore,31,-0.21457144762123675,0.24639447618399082,0.04604090613427315,-0.5287177599248394,0.1512765670315562,-0.22459677419354843,0.2244780733581456,False,0.21457144762123675
telemark_scissor_mean,Style_Score,29,-0.20497718229564568,0.2861260263068886,0.04201564526186236,-0.531555073390039,0.1746559064317116,-0.346711436057195,0.06538802890148374,False,0.20497718229564568
telemark_stability,AthleteScore,29,0.19465421544222136,0.31160670825327386,0.03789026358942673,-0.18506034942664373,0.5237967424641793,0.4182266009852216,0.023960064536039726,False,0.19465421544222136
telemark_stability,Physical_Score,29,0.19436951300118022,0.3123288342809378,0.03777950758431597,-0.18534609775694297,0.5235819948807351,0.4226600985221674,0.022359075810729597,False,0.19436951300118022
landing_absorption_rate,Style_Score,29,0.19426586313199934,0.3125919922602638,0.0377392255784207,-0.1854501124542193,0.5235038026585204,0.2778644508972663,0.14444274005475974,False,0.19426586313199934
takeoff_timing_offset,AthleteScore,24,0.1788974896845973,0.4029257589094099,0.032004311815450597,-0.24196811561649242,0.5431059953612309,0.23780010261288667,0.2631689653063098,False,0.1788974896845973
takeoff_timing_offset,Physical_Score,24,0.177931425476395,0.4055123768544549,0.031659592172061914,-0.24290729405313102,0.5424021104199719,0.24396529045840598,0.25062132589623853,False,0.177931425476395
flight_mean_bsa,Style_Score,30,0.1669145096420455,0.3779990506519284,0.027860453529044496,-0.20573250299530277,0.4972854217063363,0.02415873434692004,0.8991632168431128,False,0.1669145096420455
takeoff_knee_angle,Style_Score,26,-0.1617759982555409,0.4297898860522119,0.026171473611576773,-0.5167519169566662,0.2406635736343539,-0.2361092583983696,0.24555048905777577,False,0.1617759982555409
flight_jitter,AthleteScore,30,-0.1535662813767418,0.4178256087514132,0.023582602775880635,-0.48690307232322927,0.2188151695008972,-0.189321468298109,0.3163465860744903,False,0.1535662813767418
flight_jitter,Physical_Score,30,-0.14582951764208676,0.4419374021690808,0.021266248215723694,-0.48084192988484564,0.22633721456493758,-0.17953281423804227,0.342467148142791,False,0.14582951764208676
avg_body_ski_angle,AthleteScore,30,-0.1339195434212344,0.4804819339411228,0.01793444411015189,-0.4714484032979207,0.23783053394664136,-0.1875417130144605,0.3210013060312051,False,0.1339195434212344
avg_body_ski_angle,Style_Score,30,-0.13108678797956852,0.48989745505566074,0.01718374598280035,-0.4692028463959081,0.24054894978997846,-0.19461202668352254,0.30275855539362534,False,0.13108678797956852
avg_body_ski_angle,Physical_Score,30,-0.13051465937518308,0.49181041766224787,0.017034076311820065,-0.46874878229488004,0.24109727861651264,-0.17241379310344826,0.3622578182219746,False,0.13051465937518308
takeoff_knee_angle,AthleteScore,26,-0.09669596492969451,0.6384197397831276,0.009350109633684711,-0.46657814209700865,0.3019730556840374,-0.107008547008547,0.6028533872873905,False,0.09669596492969451
takeoff_knee_angle,Physical_Score,26,-0.09213274780088815,0.6544157538200823,0.00848844321734206,-0.4629684718593426,0.3061516318418365,-0.10427350427350426,0.6122046666360922,False,0.09213274780088815
landing_hip_velocity,Style_Score,31,0.08237901431546578,0.6595253848996206,0.006786301999587715,-0.28014467072645033,0.4243383605533006,0.024519058284748263,0.8958340403126941,False,0.08237901431546578
takeoff_peak_velocity,Style_Score,23,0.07545916033185358,0.7322029924520352,0.005694084877988385,-0.3475605490154242,0.47295673331598126,0.18506738629972888,0.39789052660568464,False,0.07545916033185358
knee_peak_velocity,AthleteScore,24,-0.0615555389815267,0.7750835096703595,0.003789084379306253,-0.4536928608536412,0.3505525697348828,-0.18086956521739128,0.3976742074169041,False,0.0615555389815267
avg_symmetry_index_back,Physical_Score,4,-0.0614234381718491,0.938576561828151,0.003772838756850969,-0.9655155622791445,0.9561087850095809,-0.19999999999999998,0.8,False,0.0614234381718491
knee_peak_velocity,Physical_Score,24,-0.061048293314730856,0.776891037480733,0.003726894116641412,-0.45328841228207956,0.35099907997705404,-0.19652173913043475,0.35737406951590367,False,0.061048293314730856
takeoff_peak_velocity,Physical_Score,23,-0.0529735945056268,0.8102891679620325,0.002806201714846574,-0.45524171342008735,0.36725470849370867,-0.11363636363636365,0.6056681466311387,False,0.0529735945056268
takeoff_peak_velocity,AthleteScore,23,-0.051408931609896846,0.8157978506241248,0.0026428782492710513,-0.45399704290419596,0.36861125066728306,-0.10375494071146245,0.637556964162966,False,0.051408931609896846
avg_symmetry_index_back,AthleteScore,4,-0.04641649929644609,0.9535835007035538,0.0021544914069369803,-0.964480447070236,0.9573825755904309,-0.19999999999999998,0.8,False,0.04641649929644609
takeoff_timing_offset,Style_Score,24,0.0289744762528866,0.8930897730996217,0.0008395202741290895,-0.37885704612002213,0.42738235082648346,0.11823689778223356,0.5821448416901914,False,0.0289744762528866
telemark_stability,Style_Score,29,0.023452479781094195,0.9038839660053418,0.000550018807882632,-0.346033683205937,0.38664085786487573,0.21669464753574688,0.25886153416998947,False,0.023452479781094195
knee_peak_velocity,Style_Score,24,-0.017221183115160972,0.9363421859880321,0.00029656914788590534,-0.4177225205778751,0.38888371394156185,0.09469844770045983,0.6598276372486793,False,0.017221183115160972
landing_knee_compression,Physical_Score,31,0.017047767797104447,0.9274736746502146,0.0002906263868639914,-0.33934824187872864,0.36916379121849763,-0.2421797398482414,0.18930789996042768,False,0.017047767797104447
landing_absorption_rate,Physical_Score,29,-0.01413693822009426,0.9419776347011627,0.00019985302223876188,-0.3786866208306376,0.3542101423795521,0.12216748768472901,0.527828083507965,False,0.01413693822009426
landing_absorption_rate,AthleteScore,29,-0.009160135445086821,0.9623858118829418,8.390808137233594e-05,-0.37441490542125744,0.35855543413644597,0.12463054187192114,0.5194764063005016,False,0.009160135445086821
flight_std,Style_Score,30,-0.004633716673869082,0.9806120746036426,2.1471330213692346e-05,-0.364300802148316,0.35623624303666446,0.017224282821415214,0.9280177646484172,False,0.004633716673869082
landing_knee_compression,AthleteScore,31,0.001077323526074286,0.9954107706858855,1.1606259798331328e-06,-0.3534036582565972,0.3552877656465085,-0.2506560307429298,0.17380734672738044,False,0.001077323526074286
